name,ticker,exchange,sector,industry,active,keywords
삼성전자,005930,KRX,반도체/전자,종합반도체 IDM,true,"HBM,DRAM,NAND,파운드리,갤럭시,Exynos"
SK하이닉스,000660,KRX,반도체,메모리 반도체,true,"HBM3E,HBM4,DRAM,엔비디아"
현대차,005380,KRX,자동차,완성차,true,"전기차,EV,아이오닉,제네시스,UAM,수소차,현대모비스"
Apple,AAPL,NASDAQ,IT/소비자가전,팹리스,true,"아이폰,iPhone,맥북,비전프로,애플실리콘,M4"
Microsoft,MSFT,NASDAQ,소프트웨어/클라우드,플랫폼,true,"Azure,Copilot,OpenAI,오피스365,클라우드,AI"
NVIDIA,NVDA,NASDAQ,AI반도체,팹리스,true,"Blackwell,GB300,H100,H200,CUDA,AI GPU,데이터센터"
Alphabet,GOOGL,NASDAQ,IT/광고,플랫폼,true,"구글,Google,유튜브,Gemini,클라우드,광고,AI검색"
Google,GOOGL,NASDAQ,IT/광고,플랫폼,true,"구글,Gemini,유튜브,GCP,Waymo,AI검색,광고"
Amazon,AMZN,NASDAQ,이커머스/클라우드,플랫폼,true,"AWS,이커머스,물류,알렉사,광고,클라우드"
Meta,META,NASDAQ,소셜미디어,플랫폼,true,"페이스북,인스타그램,왓츠앱,라마,AI,광고,메타버스"
Tesla,TSLA,NASDAQ,전기차/에너지,완성차+에너지,true,"전기차,EV,FSD,자율주행,에너지저장,사이버트럭,일론머스크"
Berkshire Hathaway,BRK.B,NYSE,금융/지주,투자지주,true,"워런버핏,보험,투자,BNSF,Apple지분"
Eli Lilly,LLY,NYSE,제약/바이오,제약,true,"비만치료제,GLP-1,마운자로,젭바운드,당뇨,알츠하이머"
Broadcom,AVGO,NASDAQ,반도체/네트워크,팹리스,true,"AI가속기,ASIC,네트워킹,VMware,데이터센터"
Micron,MU,NASDAQ,반도체,메모리 반도체,true,"HBM,DRAM,NAND,AI메모리,데이터센터"
AMD,AMD,NASDAQ,AI반도체,팹리스,true,"MI300,GPU,EPYC,Instinct,AI가속기,데이터센터"
Intel,INTC,NASDAQ,반도체,종합반도체 IDM,true,"18A,파운드리,Gaudi,AI가속기,PC,서버CPU"
ARM,ARM,NASDAQ,반도체 IP,IP라이선싱,true,"ARM아키텍처,모바일AP,AI칩,RISC-V,라이선스"
TSMC,TSM,NYSE,반도체 파운드리,순수 파운드리,true,"2nm,CoWoS,HBM패키징,엔비디아,애플,AI칩,파운드리"
ASML,ASML,NASDAQ,반도체 장비,EUV 리소그래피,true,"EUV,High-NA,반도체장비,파운드리,독점"
Qualcomm,QCOM,NASDAQ,AI반도체,팹리스,true,"스냅드래곤,모바일AP,AI엣지,온디바이스AI,PC,자동차"
Super Micro,SMCI,NASDAQ,AI서버,서버시스템,true,"AI서버,GPU서버,엔비디아,데이터센터,액체냉각"
LG에너지솔루션,373220,KRX,2차전지,배터리,true,"배터리,전기차,ESS,원통형,파우치,GM,스텔란티스"
포스코홀딩스,005490,KRX,2차전지소재,소재,true,"양극재,리튬,니켈,2차전지소재,전기차,포스코퓨처엠"
OpenAI,,PRIVATE,AI,생성AI,true,"ChatGPT,GPT-5,Sora,OpenAI,AGI,Microsoft,o3"
Anthropic,,PRIVATE,AI,생성AI,true,"Claude,Sonnet,Opus,Anthropic,Amazon,Google,헌법AI"
SpaceX,,PRIVATE,우주/국방,로켓,true,"Starlink,Falcon9,Starship,위성인터넷,우주발사체,NASA"
Tencent,0700.HK,HKEX,IT/플랫폼,소셜미디어/게임,true,"위챗,WeChat,텐센트,QQ,게임,클라우드,미니프로그램"
Alibaba,BABA,NYSE,이커머스/클라우드,플랫폼,true,"알리바바,알리클라우드,타오바오,티몰,알리페이,국제상거래"
CATL,300750.SZ,SZSE,2차전지,배터리,true,"CATL,닝더시대,LFP,삼원계,ESS,전기차배터리,나트륨이온"
BYD,002594.SZ,SZSE,전기차/배터리,완성차+배터리,true,"BYD,블레이드배터리,LFP,전기차,DM-i,비야디"
Xiaomi,1810.HK,HKEX,IT/스마트폰,소비자가전,true,"샤오미,Xiaomi,스마트폰,MIUI,전기차,IoT,SU7"
Delta Electronics,2308.TW,TWSE,전력전자,파워서플라이,true,"델타전자,Delta,파워서플라이,UPS,데이터센터전력,AI전력,인버터"
MediaTek,2454.TW,TWSE,AI반도체,팹리스,true,"미디어텍,MediaTek,Dimensity,5G칩,모바일AP,AI칩,헬리오"
Nanya,2408.TW,TWSE,반도체,DRAM,true,"난야,Nanya,DRAM,DDR4,DDR5,레거시반도체,메모리"
SoftBank,9984.T,TSE,통신/투자,투자지주,true,"소프트뱅크,SoftBank,비전펀드,ARM,AI투자,통신,손정의"
Kioxia,285A.T,TSE,반도체,NAND플래시,true,"키옥시아,Kioxia,낸드,NAND,BiCS,플래시메모리,웨스턴디지털"
Tokyo Electron,8035.T,TSE,반도체 장비,반도체장비,true,"도쿄일렉트론,TEL,Tokyo Electron,반도체장비,코터현상기,CVD,ALD,에칭"
